Site,Square,AU,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation,,,,
J,B,1,3,1,5148,Chert,Dk Brown,0.03,4.95,Hshat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,1.35,,20.097,1.219211823,,,,
J,B,1,3,1,5149,Chert,Grey,0.42,6.42,Flake,0,Angul,Bending,,,12.1,3-scars,,No,3,3,,3-scars,,No,3,3,,,,,,,,,,,,,Feather,,,,,11.77,3.32,2.77,75.5634,0.545454545,,,,
J,B,1,3,1,5150,Volcanic,Dk Grey,0.17,7.27,Shatt,80,Angul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,2.32,,59.3232,0.890931373,,,,
J,B,1,3,1,5151,Chert,Grey,0.12,5.33,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,2.06,,34.4851,0.823802164,,,,
J,B,1,3,1,5152,Volcanic,Dk Grey,0.1,9.58,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,2.1,,38.5116,2.383084577,,,,
J,B,1,3,1,5523,Silcrete,Brown,0.01,6.37,Flake-b,0,,,Trans,,,,,,5,,,,,,5,,,,,,,,Dist,,,,,,Feather,,,,,3.74,0.83,,23.8238,1.703208556,,,,
J,B,1,4,1,188,Chert,Faun,6.91,29.9,RetF,0,,Hertz,,1,20.75,Single,,Yes,10,1,No,Single,,Yes,10,1,No,D-V,Percus,Prox,9.03,9.01,,,,,,1,Hinge,,,,,22.82,6.39,6.68,682.318,1.310254163,,,,
J,B,1,4,1,189,Chert,Brown,0.11,10.68,Flake,0,,Hertz,,,,Focal,,Yes,4,,,Focal,,Yes,4,,,,,,,,,,,,,,Feather,,,,,7.4,0.91,,79.032,1.443243243,,,,
J,B,1,4,1,190,Quartz,Cream,0.5,8.18,Flake-b,0,,Hertz,Lmarg,,8.12,Single,,Yes,4,1,,Single,,Yes,4,1,,,,,,,,,,,,,Feather,,,,,12.75,3.46,2.19,104.295,0.641568627,,,,
J,B,1,4,1,191,Chert,Grey,0.14,6.46,Flake,0,,Hertz,,,7.46,Single,,No,1,1,,Single,,No,1,1,,,,,,,,,,,,,Feather,,,,,10.49,2.3,1.76,67.7654,0.615824595,,,,
J,B,1,4,1,192,Chert,Faun,0.58,20.13,Flake,10,Angul,Hertz,,,6.31,Cort,,Yes,4,0,,Cort,,Yes,4,0,,,,,,,,,,,,,Feather,,,,,12.48,2.55,2.24,251.2224,1.612980769,,,,
J,B,1,4,1,193,Chert,Grey,11.29,20.71,Flake-b,10,Angul,Hertz,,5,17.54,Single,,Yes,6,1,Yes,Single,,Yes,6,1,Yes,V-D,Percus,Dist,30.58,8.2,,,,,,7,Retouched,,,,,34.49,14.26,8.4,714.2879,0.600463903,,,,
J,B,1,4,1,194,Quartz,Grey,1.48,17.04,Flake,0,,Bending,,,11.22,Single,,Yes,8,1,,Single,,Yes,8,1,,,,,,,,,,,,,Step,,,,,12.35,4.46,6.52,210.444,1.379757085,,,,
J,B,1,4,1,195,Chert,Grey,0.94,14.27,Flake,0,,Hertz,,,,Focal,,Yes,6,,,Focal,,Yes,6,,,,,,,,,,,,,,Feather,,,,,19.54,3.22,,278.8358,0.730296827,,,,
