Site,Square,AU,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation,,,,
J,B,1,5,1,4836,Chert,Brown,0.03,5.33,Flake,20,Angul,Bending,,,4.25,Cort,,No,2,0,,Cort,,No,2,0,,,,,,,,,,,,,Feather,,,,,4.4,0.63,1.04,23.452,1.211363636,,,,
J,B,1,5,1,4837,Chert,Grey,0.04,7.07,Flake,0,,Hertz,,,4.02,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,,,1,,,,Feather,,,,,6.8,0.87,0.76,48.076,1.039705882,,,,
J,B,1,5,1,4838,Chert,Grey,0.06,7.33,Flake-b,0,,,Trans,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Feather,,,,,4.73,1.36,,34.6709,1.549682875,,,,
J,B,1,5,1,4839,Chert,Grey,0.07,7.11,Flake-b,0,,,Trans,,,,,,1,,,,,,1,,,,,,,,Dist,,,,,,Feather,,,,,8.21,0.82,,58.3731,0.866017052,,,,
J,B,1,5,1,4840,Chert,Grey,0.04,5.26,Flake-b,0,,Hertz,Long,,1.65,Single,,No,1,1,,Single,,No,1,1,,,,,,,Rlat,,,,,,Hinge,,,,,5.22,1.15,1.12,27.4572,1.007662835,,,,
J,B,1,5,1,4841,Chert,Cream,0.06,4.89,Flake,0,,Hertz,,,3.73,Single,,Yes,3,1,,Single,,Yes,3,1,,,,,,,,,,,,,Feather,,,,,6.87,1.28,0.61,33.5943,0.711790393,,,,
J,B,1,5,1,4842,Silcrete,Cream,0.07,9.08,Flake,80,Angul,Hertz,,,2.68,Single,,No,1,1,,Single,,No,1,1,,,,,,,,,,,,,Feather,,,,,5.85,1.16,0.86,53.118,1.552136752,,,,
J,B,1,5,1,4843,Volcanic,Dk Grey,0.08,7.21,Flake,0,,Hertz,,,4.11,Single,,No,2,1,,Single,,No,2,1,,,,,,,,,,,,,Feather,,,,,6.96,1.31,0.7,50.1816,1.03591954,,,,
J,B,1,5,1,4844,Chert,Grey,0.01,5.1,Flake-b,0,,,Both,,,,,,1,,,,,,1,,,,,,,,Dist,,,,,,Feather,,,,,2.55,0.37,,13.005,2,,,,
J,B,1,5,1,4845,Chert,Grey,0.01,6.76,Flake-b,0,,Hertz,Long,,,Coll,,No,1,,,Coll,,No,1,,,,,,,,Rlat,,,,,,Feather,,,,,3.19,0.39,,21.5644,2.119122257,,,,
J,B,1,5,1,4846,Chert,Grey,0.03,4.47,FFrag,0,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,4.84,1.53,,21.6348,0.923553719,,,,
J,B,1,5,1,4847,Chert,Orange,0.01,3.16,Hshat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,0.5,,8.7848,1.136690647,,,,
J,B,1,5,1,4848,Chert,Grey,0.08,7.95,Hshat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46,1.5,,51.357,1.230650155,,,,
J,B,1,5,1,4849,Chert,Grey,0.03,4.32,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,0.9,,22.1616,0.842105263,,,,
J,B,1,5,1,4850,Chert,Grey,0.06,9.37,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,1.87,,25.8612,3.394927536,,,,
J,B,1,5,1,4851,Chert,Dk Brown,0.04,4.95,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,2.35,,16.632,1.473214286,,,,
J,B,1,5,1,4852,Chert,Lt Purple,1.81,17.29,Flake,0,,Hertz,,,14.37,2-scars,,Yes,3,2,,2-scars,,Yes,3,2,,,,,,,,,,,,,Step,,,,,14.68,5.42,6.92,253.8172,1.177792916,,,,
J,B,1,5,1,4853,Chert,Lt Purple,0.2,8.3,Flake-b,0,,Hertz,LCS,,5.36,Single,,No,2,1,,Single,,No,2,1,,,,,,,Llat,,,,,,Feather,,,,,6.4,3.1,4.94,53.12,1.296875,,,,
J,B,1,5,1,4854,Chert,Brown,0.59,14.32,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,5.67,,108.2592,1.894179894,,,,
J,B,1,5,1,4855,Chert,Pink,0.18,6.06,Hshat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23,2.48,,61.9938,0.592375367,,,,
J,B,1,5,1,9324,Chert,Brown,0.03,6.29,FP,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4.44,0.66,,27.9276,1.416666667,,,,
J,B,1,6,1,326,Quartz,Grey,2.81,24.35,Flake,0,,Hertz,,,8.51,Single,,No,5,1,,Single,,No,5,1,,,,,,,,,,,,,Feather,,,,,14.32,4.22,4.41,348.692,1.700418994,,,,
J,B,1,6,1,327,Chert,Brown,4.7,21.67,Flake,0,,Hertz,,,16.7,3-scars,,Yes,8,3,,3-scars,,Yes,8,3,,,,,,,,,1,,,,Feather,,,,,23.46,8.2,7.39,508.3782,0.923699915,,,,
J,B,1,6,1,328,Chert,Cream,0.08,8.94,Flake,0,,Hertz,,,,Partcoll,,Yes,2,,,Partcoll,,Yes,2,,,,,,,,,,,,,,Feather,,,,,6.38,1.2,,57.0372,1.401253918,,,,
J,B,1,6,1,329,Chert,Brown,6.83,24.05,Flake,0,,Bending,,,27.51,Single,,No,6,1,,Single,,No,6,1,,,,,,,,,,,,,Feather,,,,,30.58,8.2,11.75,735.449,0.78646174,,,,
J,B,1,6,1,330,Volcanic,Grey,2.13,18.12,Flake,0,,,Trans,,,,,No,4,,,,,No,4,,,,,,,,Dist,,,,,,Feather,,,,,15.55,4.2,,281.766,1.165273312,,,,
J,B,1,6,1,331,Chert,Grey,0.16,4.96,Flake-b,0,,Hertz,Trans,,7.44,2-scars,,Yes,2,2,,2-scars,,Yes,2,2,,,,,,,Prox,,,,,,,,,,,9.87,2.27,1.69,48.9552,0.502532928,,,,
J,B,1,6,1,332,Chert,Red,4.98,17.3,Core,10,Angul,,,,,,,,5,,,,,,5,,,,,,,,,,,,4,,,,,,,21.06,12.2,,364.338,0.821462488,,,,
J,B,1,6,1,333,Chert,White,0.07,10.42,Flake-b,0,,,Trans,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Feather,,,,,5.89,0.88,,61.3738,1.76910017,,,,
J,B,1,6,1,334,Chert,Grey,2.55,18.6,Flake,30,Angul,Hertz,,,11.62,Single,,Yes,4,1,,Single,,Yes,4,1,,,,,,,,,,,,,Feather,,,,,18.92,5.78,2.79,351.912,0.983086681,,,,
J,B,1,6,1,335,Chert,Grey,2.69,18.08,Flake,0,,Bending,,,7.16,3-scars,,Yes,5,3,,3-scars,,Yes,5,3,,,,,,,,,,,,,Feather,,,,,12.76,9.03,13.51,230.7008,1.4169279,,,,
J,B,1,6,1,336,Chert,Grey,0.17,14.21,Flake-b,0,,Hertz,LCS,,,Partcoll,,Yes,3,,,Partcoll,,Yes,3,,,,,,,,Llat,,,,,,Feather,,,,,3.93,2.55,,55.8453,3.615776081,,,,
J,B,1,6,1,337,Volcanic,Grey,6.01,21.19,RetF,60,Round,Bending,,1,16.75,Single,,No,2,1,Yes,Single,,No,2,1,Yes,D-V,Percus,Llat,,,,,,,,1,Feather,,,,,20.18,13.75,6.14,427.6142,1.050049554,,,,
J,B,1,6,1,338,Chert,Brown,0.09,5.62,Flake-b,0,,,Trans,,,,,,2,,,,,,2,,,,,,,,Dist,,,,,,Hinge,,,,,7.18,2,,40.3516,0.782729805,,,,
J,B,1,6,1,339,Volcanic,Brown,0.36,11.76,Flake-b,0,,Bending,Trans,,8.78,Single,,No,1,1,,Single,,No,1,1,,,,,,,Prox,,,,,,,,,,,13.02,2,2.43,153.1152,0.903225806,,,,
J,B,1,6,1,340,Chert,Dk Brown,0.34,12.24,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,,,,,,,Feather,,,,,14.6,2.03,,178.704,0.838356164,,,,
J,B,1,6,1,341,Chert,Grey,0.81,15.72,Flake,0,,Hertz,,,14.94,2-scars,,Yes,7,2,,2-scars,,Yes,7,2,,,,,,,,,,,,,Feather,,,,,18.8,3.2,2.23,295.536,0.836170213,,,,
J,B,1,6,1,342,Chert,Grey,0.57,15.49,Flake,5,Angul,Hertz,,,6.72,Cort,,Yes,4,0,,Cort,,Yes,4,0,,,,,,,,,,,,,Feather,,,,,8.67,3.25,1.89,134.2983,1.786620531,,,,
J,B,1,6,1,343,Chert,Brown,1.26,16.75,Flake,0,,Hertz,,,15.84,Single,,No,6,1,,Single,,No,6,1,,,,,,,,,,,,,Feather,,,,,10.05,5.43,5.48,168.3375,1.666666667,,,,
J,B,1,6,1,344,Quartzite,Grey,1.03,9.48,Flake,0,,Hertz,,,12.52,Single,,No,4,1,,Single,,No,4,1,,,,,,,,,,,,,Feather,,,,,17.24,5.05,2.74,163.4352,0.549883991,,,,
J,B,1,6,1,345,Chert,Brown,0.56,15.54,Flake,0,,Hertz,,,,Focal,,No,6,,,Focal,,No,6,,,,,,,,,,,,,,Feather,,,,,10.84,3.79,,168.4536,1.433579336,,,,
J,B,1,6,1,346,Chert,Red,0.34,9.83,Flake,0,,Hertz,,,4.17,Single,,Yes,6,1,,Single,,Yes,6,1,,,,,,,,,,,,,Feather,,,,,9.13,2.62,1.18,89.7479,1.076670318,,,,
J,B,1,6,1,347,Chert,Grey,0.67,11.27,Flake,0,,Hertz,Rmarg,,7.35,Single,,No,1,1,,Single,,No,1,1,,,,,,,,,,,,,Feather,,,,,18.97,3.25,3.08,213.7919,0.594095941,,,,
J,B,1,6,1,348,Volcanic,Grey,3.68,19.98,Flake-b,0,,,Trans,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Feather,,,,,21.26,6.3,,424.7748,0.939793039,,,,
J,B,1,6,1,349,Chert,Grey,0.08,5.42,Flake-b,0,,Hertz,Lmarg,,4.15,Single,,Yes,1,1,,Single,,Yes,1,1,,,,,,,Rlat,,,,,,Step,,,,,6.06,1.26,1.73,32.8452,0.894389439,,,,
J,B,1,6,1,350,Silcrete,Cream,0.08,6.72,Flake,0,,Hertz,,,4.26,Single,,Yes,3,1,,Single,,Yes,3,1,,,,,,,,,,,,,Feather,,,,,6.49,2.06,1.29,43.6128,1.035439137,,,,
J,B,1,6,1,351,Chert,Grey,0.13,8.81,Flake,0,,Hertz,,,,Focal,,No,4,,,Focal,,No,4,,,,,,,,,,,,,,Feather,,,,,7.35,1.24,,64.7535,1.198639456,,,,
J,B,1,6,1,352,Silcrete,Cream,0.4,10.94,Flake,0,,Hertz,,,17.8,2-scars,,Yes,3,2,,2-scars,,Yes,3,2,,,,,,,,,,,,,Feather,,,,,16.12,1.96,1.63,176.3528,0.67866005,,,,
J,B,1,6,1,353,Volcanic,Grey,1.58,23.99,Flake,100,Angul,Hertz,,,13.41,Cort,,No,0,0,,Cort,,No,0,0,,,,,,,,,,,,,Feather,,,,,19.32,3.53,2.94,463.4868,1.241718427,,,,
J,B,1,6,1,354,Chert,Grey,0.15,13.97,Flake,0,,Hertz,,,,Focal,,Yes,4,0,,Focal,,Yes,4,0,,,,,,,,,,,,,Feather,,,,,3.58,2.27,,50.0126,3.902234637,,,,
J,B,1,6,1,355,Chert,Grey,0.22,7.79,Flake,0,,Hertz,,,6.63,3-scars,,Yes,4,3,,3-scars,,Yes,4,3,,,,,,,,,,,,,Feather,,,,,10.83,2.65,3.7,84.3657,0.719298246,,,,
J,B,1,6,1,356,Chert,Brown,0.06,7.31,Flake,0,,Hertz,,,,Focal,,No,3,,,Focal,,No,3,,,,,,,,,,,,,,Feather,,,,,6.47,0.91,,47.2957,1.129829985,,,,
J,B,1,6,1,357,Chert,Grey,0.25,9.99,Flake,0,,Hertz,,,5.46,Single,,Yes,3,1,,Single,,Yes,3,1,,,,,,,,,,,,,Step,,,,,8.25,2.19,2.42,82.4175,1.210909091,,,,
J,B,1,6,1,358,Volcanic,Grey,3.01,16.25,Flake,0,,Bending,,,14.31,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,,16.12,8.54,7.93,261.95,1.008064516,,,,
J,B,1,6,1,359,Volcanic,Grey,2.57,16.51,Flake-b,0,,,Trans,,,,,,2,,,,,,2,,,,,,,,Dist,,,,,,Hinge,,,,,22.32,5.61,,368.5032,0.739695341,,,,
J,B,1,6,1,360,Silcrete,Grey,0.18,6.55,Flake,10,Angul,Hertz,,,8.61,2-scars,,Yes,3,2,,2-scars,,Yes,3,2,,,,,,,,,,,,,Feather,,,,,9.46,2.9,2.91,61.963,0.692389006,,,,
J,B,1,6,1,361,Chert,Peach,0.05,9.19,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,,,,,,,Feather,,,,,3.43,0.7,,31.5217,2.679300292,,,,
J,B,1,6,1,362,Volcanic,Brown,0.66,12.08,Flake-b,0,,Hertz,Long,,4.41,Single,,No,3,1,,Single,,No,3,1,,,,,,,Rlat,,,,,,Feather,,,,,12.21,5,1.79,147.4968,0.989352989,,,,
J,B,1,6,1,363,Volcanic,Grey,0.57,15.38,Flake,0,,Hertz,,,9.07,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,,8.86,3.85,3.44,136.2668,1.735891648,,,,
J,B,1,6,1,364,Chert,Dk Grey,0.04,3.72,Flake-b,0,,,,,,Focal,,No,3,,,Focal,,No,3,,,,,,,,,1,,,,,Feather,,,,,6.01,1.29,,22.3572,0.618968386,,,,
J,B,1,6,1,365,Chert,White,0.06,6.86,Flake,0,,Hertz,,,,Focal,,Yes,4,,,Focal,,Yes,4,,,,,,,,,,,,,,Feather,,,,,7.5,1.4,,51.45,0.914666667,,,,
J,B,1,6,1,366,Chert,Brown,0.14,8.97,Flake,0,,Hertz,,,5.76,Single,,Yes,1,1,,Single,,Yes,1,1,,,,,,,,1,,,,,Feather,,,,,6.55,1.59,3,58.7535,1.369465649,,,,
J,B,1,6,1,367,Chert,Dk Grey,0.15,10.61,Flake,0,,Hertz,Dist,,4.29,Single,,Yes,4,1,,Single,,Yes,4,1,,,,,,,,,1,,,,,,,,,8.85,1.77,1.39,93.8985,1.198870056,,,,
J,B,1,6,1,368,Chert,Grey,0.22,10.61,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,1,,,,,Feather,,,,,11.67,1.6,,123.8187,0.909168809,,,,
J,B,1,6,1,369,Chert,Grey,0.18,11.2,Flake,0,,Hertz,,,,Focal,,No,5,,,Focal,,No,5,,,,,,,,,,,,,,Feather,,,,,9.07,1.63,,101.584,1.234840132,,,,
J,B,1,6,1,370,Chert,Grey,1,8.58,Flake,0,,Hertz,,,11.03,Single,,Yes,5,1,,Single,,Yes,5,1,,,,,,,,,,,,,Hinge,,,,,13.07,5.78,4.52,112.1406,0.656465187,,,,
J,B,1,6,1,371,Chert,Grey,8.33,23.19,Core,0,,,,,,,,,14,,,,,,14,,,,,,,,,,,,5,,,,,,,19.97,11.97,,463.1043,1.161241863,,,,
J,B,1,6,1,372,Volcanic,Dk Grey,0.93,10.33,Flake,0,,Bending,,,6.4,Single,,No,4,1,,Single,,No,4,1,,,,,,,,,,,,,Feather,,,,,11.41,7.63,2.81,117.8653,0.905346188,,,,
J,B,1,6,1,373,Chert,Yellow,1.25,9.67,Flake,20,Angul,Hertz,,,14.82,Single,,No,4,1,,Single,,No,4,1,,,,,,,,,,,,,Feather,,,,,13.01,7.04,6.53,125.8067,0.743274404,,,,
J,B,1,6,1,374,Quartzite,Grey,1.52,17.99,Flake,0,,Hertz,,,,Focal,,Yes,6,,,Focal,,Yes,6,,,,,,,,,,,,,,Step,,,,,13.68,4.44,,246.1032,1.31505848,,,,
J,B,1,6,1,375,Chert,Grey,0.49,9.97,Flake,0,,Hertz,,,8.56,Single,,No,4,1,,Single,,No,4,1,,,,,,,,,,,,,Feather,,,,,14.28,3.06,3.95,142.3716,0.698179272,,,,
J,B,1,6,1,376,Chert,Grey,1.56,20.64,Flake,0,,Hertz,,,6.72,2-scars,,Yes,6,2,,2-scars,,Yes,6,2,,,,,,,,,,,,,Feather,,,,,8.24,7.49,3.8,170.0736,2.504854369,,,,
J,B,1,6,1,377,Chert,Brown,1.68,19.22,Core,0,,,,,,,,,11,,,,,,11,,,,,,,,,,,,4,,,,,,,10.91,7.75,,209.6902,1.761686526,,,,
J,B,1,6,1,378,Volcanic,Dk Grey,3.27,14.93,Flake,0,,Bending,,,12.67,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,1,,,Feather,,,,,22.36,7.73,4.95,333.8348,0.667710197,,,,
J,B,1,6,1,379,Chert,Dk Brown,6.72,22.24,Core,30,Angul,Hertz,,,,,,No,7,,,,,No,7,,,,,,,,,1,,,3,,,,,,,16.74,17.21,,372.2976,1.328554361,,,,
J,B,1,6,1,380,Chert,Grey,0.1,8.59,Core,0,,,,,,,,,6,,,,,,6,,,,,,,,,,,,4,,,,,,,4.38,2.49,,37.6242,1.961187215,,,,
J,B,1,6,1,381,Chert,Red,0.03,8.47,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,1.14,,26.7652,2.680379747,,,,
J,B,1,6,1,382,Chert,Grey,2.94,23.49,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17,8.79,,356.3433,1.54845089,,,,
J,B,1,6,1,383,Chert,Grey,0.56,13.67,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,3.69,,77.919,2.398245614,,,,
J,B,1,6,1,384,Chert,Red,0.07,12.89,Hshat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,1.57,,43.0526,3.859281437,,,,
J,B,1,6,1,385,Chert,Red,0.1,9.82,Hshat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19,1.75,,70.6058,1.365785814,,,,
J,B,1,6,1,4977,Chert,Grey,0.7,13.14,Flake,0,,Hertz,,,10.28,2-scars,,No,4,2,,2-scars,,No,4,2,,,,,,,,,,,,,Hinge,,,,,18.43,2.9,3.9,242.1702,0.712967987,,,,
J,B,1,6,1,4978,Chert,Brown,0.01,4.22,Flake,0,,Hertz,,,,Focal,,No,1,,,Focal,,No,1,,,,,,,,,,,,,,Feather,,,,,3.08,0.84,,12.9976,1.37012987,,,,
J,B,1,6,1,4979,Chert,Grey,0.16,11.34,Flake-b,0,,Bending,Lmarg,,10.09,2-scars,,No,1,2,,2-scars,,No,1,2,,,,,,,,,1,1,,,Feather,,,,,8.06,1,2.78,91.4004,1.406947891,,,,
J,B,1,6,1,4980,Chert,Cream,0.11,5.6,Hshat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,2.06,,37.632,0.833333333,,,,
J,B,1,7,1,386,Chert,Brown,2.08,18.21,RetF,0,,Hertz,,4,13.99,2-scars,,Yes,2,2,Yes,2-scars,,Yes,2,2,Yes,Both,Percus,Rlat,19.88,7.41,,,,,,3,Retouched,,,,,18.07,6.25,5.25,329.0547,1.007747648,,,,
J,B,1,7,1,387,Chert,Grey,2.01,21.26,Flake,80,Angul,Bending,,,19.72,2-scars,,No,2,2,,2-scars,,No,2,2,,,,,,,,,,,,,Feather,,,,,19.92,3.76,8.13,423.4992,1.067269076,,,,
J,B,1,7,1,388,Chert,Grey,0.93,15.17,Flake,20,Angul,Hertz,,,10.99,2-scars,,Yes,2,1,,2-scars,,Yes,2,1,,,,,,,,,,,,,Feather,,,,,15.01,4.59,5.44,227.7017,1.01065956,,,,
J,B,1,7,1,389,Volcanic,Dk Grey,1.71,14.26,Flake,0,,Hertz,,,12.71,Single,,Yes,4,1,,Single,,Yes,4,1,,,,,,,,,,,,,Hinge,,,,,27.32,3.65,3.65,389.5832,0.521961933,,,,
J,B,1,7,1,390,Chert,Lt Brown,1.03,12.52,Flake-b,0,,Hertz,Trans,,8.76,Single,,No,4,1,,Single,,No,4,1,,,,,,,,,,,,,Feather,,,,,12.48,5.56,3.02,156.2496,1.003205128,,,,
J,B,1,7,1,391,Chert,Dk Brown,1.04,13.62,Flake,20,Angul,Hertz,,,8.82,2-scars,,Yes,6,2,,2-scars,,Yes,6,2,,,,,,,,,,,,,Hinge,,,,,14.14,4.05,4.09,192.5868,0.963224894,,,,
J,B,1,7,1,392,Chert,Faun,0.87,25.42,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,,,,,,Feather,,,,,14.5,2.67,,368.59,1.753103448,,,,
J,B,1,7,1,393,Chert,Red,0.24,6.53,Flake,0,,Bending,,,12.56,Single,,No,2,1,,Single,,No,2,1,,,,,,,,,,,,,Feather,,,,,9.7,2.67,4.02,63.341,0.673195876,,,,
J,B,1,7,1,394,Chert,Grey,0.52,13.55,Flake,0,,Hertz,,,9.03,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,,,,1,,,Feather,,,,,15.39,2.28,3.37,208.5345,0.880441845,,,,
J,B,1,7,1,395,Volcanic,Dk Grey,0.45,9.59,Flake,0,,Hertz,Rmarg,,6.67,Single,,No,1,1,,Single,,No,1,1,,,,,,,,,,,,,Feather,,,,,16.87,2.59,3.1,161.7833,0.56846473,,,,
J,B,1,7,1,396,Chert,Red,0.63,15.31,Flake,0,,Hertz,,,4.02,Single,,Yes,3,1,,Single,,Yes,3,1,,,,,,,,,,,,,Feather,,,,,9.99,3.83,2.14,152.9469,1.532532533,,,,
J,B,1,7,1,397,Chert,Peach,3.99,22.8,RetF-b,25,Angul,Hertz,Rmarg,1,15.48,Single,,Yes,2,1,Yes,Single,,Yes,2,1,Yes,V-D,Percus,Dist,5.62,9.44,,,,,,1,Feather,,,,,24.18,8.45,5.5,551.304,0.94292804,,,,
J,B,1,7,1,398,Chert,Brown,1.64,19.43,RetF-b,40,Angul,,Trans,2,,,,,2,,Yes,,,,2,,Yes,D-V,Percus,Prox,3.56,5.16,Med,,,,,2,,,,,,17.35,3.89,,337.1105,1.119884726,,,,
J,B,1,7,1,399,Chert,Lt Brown,0.99,10.42,Flake-b,0,,Hertz,Trans,,10.87,Single,,Yes,5,1,,Single,,Yes,5,1,,,,,,,Prox,,,,,,,,,,,17.14,4.8,3.27,178.5988,0.607934656,,,,
J,B,1,7,1,400,Silcrete,Faun,0.3,12.29,Flake-b,0,,Hertz,Dist,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,,,,,,none,,,,,9.75,2.22,,119.8275,1.260512821,,,,
J,B,1,7,1,401,Volcanic,Dk Grey,0.28,7.61,Flake,50,Angul,Hertz,,,,Focal,,No,2,1,,Focal,,No,2,1,,,,,,,,,,,,,Feather,,,,,9.71,3.07,,73.8931,0.783728115,,,,
J,B,1,7,1,402,Chert,Grey,1.02,21.45,Flake,0,,Hertz,,,4.56,Single,,No,5,1,,Single,,No,5,1,,,,,,,,,,,,,Feather,,,,,11.95,3.94,1.61,256.3275,1.794979079,,,,
J,B,1,7,1,403,Chert,Yellow,0.62,14.59,Flake,0,,Hertz,,,3.82,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,,,,,,,Feather,,,,,22.79,1.59,0.63,332.5061,0.640193067,,,,
J,B,1,7,1,404,Chert,Dk Grey,0.15,10.27,Flake,0,,Hertz,,,4.65,Single,,Yes,3,1,,Single,,Yes,3,1,,,,,,,,,,,,,Feather,,,,,9.49,1.44,1.06,97.4623,1.082191781,,,,
J,B,1,7,1,405,Chert,Grey,3.41,22.6,Flake,0,,Hertz,,,17.77,2-scars,,No,4,2,,2-scars,,No,4,2,,,,,,,,,,,,,Feather,,,,,17.69,8.68,9.55,399.794,1.277557942,,,,
J,B,1,7,1,406,Chert,Red,0.04,4.34,Flake,0,,Hertz,,,,Focal,,Yes,2,,,Focal,,Yes,2,,,,,,,,,,,,,,Feather,,,,,4.92,0.55,,21.3528,0.882113821,,,,
J,B,1,7,1,407,Chert,Grey,0.01,4.89,Flake,0,,Bending,,,3.33,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,,,,,,,Feather,,,,,4.16,0.43,0.85,20.3424,1.175480769,,,,
J,B,1,7,1,408,Volcanic,Grey,0.14,6.78,Flake,0,,Hertz,,,8.82,Single,,No,1,1,,Single,,No,1,1,,,,,,,,,,,,,Feather,,,,,8.46,1.3,1.91,57.3588,0.80141844,,,,
J,B,1,7,1,409,Chert,Cream,0.28,8.27,Flake-b,70,Angul,,Trans,,,,,,2,,,,,,2,,,,,,,,Dist,,,,,,Feather,,,,,8.3,2.55,,68.641,0.996385542,,,,
J,B,1,7,1,410,Chert,Cream,0.16,8.25,Flake,0,,Hertz,,,6.28,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,,,,,,,Feather,,,,,10.55,1.39,1.57,87.0375,0.781990521,,,,
J,B,1,7,1,411,Chert,Grey,0.09,6.4,Flake,0,,,,,,Coll,,,2,,,Coll,,,2,,,,,,,,,,,,,,Feather,,,,,10.85,1.08,,69.44,0.589861751,,,,
J,B,1,7,1,412,Chert,Cream,0.02,6.39,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,,,,,,,Feather,,,,,4.19,0.6,,26.7741,1.525059666,,,,
J,B,1,7,1,413,Chert,Red,0.63,18.35,Flake,0,,Hertz,,,6.76,Single,,No,3,1,,Single,,No,3,1,,,,,,,,1,,,,,Feather,,,,,15.31,2.35,1.5,280.9385,1.198563031,,,,
J,B,1,7,1,414,Chert,Brown,0.47,7.93,Flake,0,,Bending,,,12.79,Single,,No,2,1,,Single,,No,2,1,,,,,,,,,,,,,Step,,,,,13.11,2.54,2.78,103.9623,0.60488177,,,,
J,B,1,7,1,415,Chert,Grey,0.43,8.18,Flake,0,,Hertz,,,10.98,2-scars,,No,3,2,,2-scars,,No,3,2,,,,,,,,,,,,,Feather,,,,,12.78,3.89,6.14,104.5404,0.640062598,,,,
J,B,1,7,1,416,Chert,Grey,1.27,14.11,Flake,0,,Hertz,,,10.12,Single,,No,5,1,,Single,,No,5,1,,,,,,,,,,,,,Feather,,,,,17.41,4.33,5.88,245.6551,0.810453762,,,,
J,B,1,7,1,417,Chert,Grey,0.46,14.45,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,,,,,,Feather,,,,,12.64,3.22,,182.648,1.143196203,,,,
J,B,1,7,1,418,Chert,Lt Brown,1.1,19.84,Flake,0,,Hertz,,,8.91,2-scars,,Yes,4,2,,2-scars,,Yes,4,2,,,,,,,,,,,,,Hinge,,,,,9.52,5.86,5.15,188.8768,2.084033613,,,,
J,B,1,7,1,419,Quartzite,Brown,0.3,10.2,Flake-b,0,,Hertz,Rmarg,,8.7,Single,,Yes,1,1,,Single,,Yes,1,1,,,,,,,,,,,,,Step,,,,,14.13,2.01,2.98,144.126,0.721868365,,,,
J,B,1,7,1,420,Chert,Peach,0.23,11.08,Flake,0,,Hertz,,,,Focal,,No,3,,,Focal,,No,3,,,,,,,,,,,,,,Step,,,,,8.52,1.38,,94.4016,1.300469484,,,,
J,B,1,7,1,421,Chert,Grey,0.65,13.95,Flake,15,Angul,Hertz,,,6.4,Single,,No,2,1,,Single,,No,2,1,,,,,,,,,,,,,Feather,,,,,15.84,3.56,2.65,220.968,0.880681818,,,,
